team1_form,team2_form,head_to_head,venue_win_rate_t1,venue_win_rate_t2,venue_avg_score,toss_advantage,season,target
0.2,0.6,0.0,0.0,0.0,309.0,1,2009,1
0.6,0.0,0.3333333333333333,0.0,0.5,286.6666666666667,1,2009,1
0.4,0.4,1.0,0.0,0.0,295.57142857142856,1,2009,0
0.4,0.8,0.0,1.0,1.0,305.9,1,2009,0
0.6,1.0,0.3333333333333333,0.6666666666666666,0.0,308.45454545454544,0,2009,1
0.4,0.6,0.5,0.0,1.0,304.5,0,2009,0
0.8,0.4,0.3333333333333333,0.5,0.5,322.702024291498,0,2009,0
0.4,0.0,0.3333333333333333,0.5,0.0,285.0,1,2009,1
0.8,0.4,0.3333333333333333,1.0,1.0,289.1666666666667,0,2009,1
0.6,0.4,0.0,1.0,0.5,295.25,1,2009,0
0.8,0.6,0.25,0.0,0.5,243.0,1,2009,1
0.8,0.0,1.0,1.0,0.0,288.75,1,2009,0
0.6,0.8,0.0,1.0,0.5,289.6,0,2009,1
0.2,0.4,0.0,0.3333333333333333,1.0,303.2307692307692,1,2009,1
0.6,0.6,1.0,0.0,0.4,296.07142857142856,1,2009,1
0.6,0.4,0.6666666666666666,0.5,0.5,298.55555555555554,1,2009,1
0.6,0.4,0.6666666666666666,0.5,0.5,301.8,1,2009,1
0.6,0.4,1.0,0.6666666666666666,0.3333333333333333,304.1818181818182,0,2009,0
0.8,0.6,0.5,1.0,1.0,286.1666666666667,1,2009,1
1.0,0.4,0.75,1.0,0.5,287.42857142857144,1,2009,0
0.6,0.4,0.5,1.0,0.5,284.5,1,2010,0
0.4,0.2,0.3333333333333333,0.5,0.5,322.702024291498,1,2010,1
0.6,0.4,0.75,0.8571428571428571,0.0,350.42857142857144,0,2010,0
0.6,0.8,0.5,0.5714285714285714,0.0,263.2857142857143,1,2010,1
0.4,0.4,0.5,0.42857142857142855,1.0,333.7142857142857,0,2010,0
0.2,0.6,0.6,0.5,0.5,322.702024291498,0,2010,0
0.8,0.4,0.3333333333333333,0.625,1.0,264.25,0,2010,0
0.6,0.4,0.25,0.14285714285714285,1.0,291.7142857142857,0,2010,1
0.6,0.4,0.75,0.6666666666666666,0.0,325.1666666666667,1,2010,0
0.6,0.2,0.25,0.25,1.0,306.125,1,2010,1
0.6,0.4,0.5,0.5714285714285714,1.0,327.0,1,2010,0
